id,count
0,94.61
1,224.27
2,79.15
4,30.02
5,77.68
10,121.87
11,203.26
12,310.94
15,37.41
17,105.59
18,294.12
23,257.13
25,98.35
26,39.53
31,201.61
39,165.13
40,27.37
41,178.18
42,369.97
43,156.39
51,220.36
52,81.75
54,17.0
60,142.02
61,141.0
62,117.35
63,29.6
65,116.15
66,117.43
68,161.45
71,72.02
80,29.59
82,70.7
94,131.67
98,278.75
101,32.7
102,134.38
107,110.91
112,237.17
113,75.76
115,53.22
116,124.88
120,156.87
121,79.47
122,336.44
132,182.32
143,90.19
147,61.05
150,19.52
151,89.04
152,219.21
153,88.86
155,164.39
156,81.59
159,180.04
161,120.13
163,45.6
177,170.4
186,13.77
188,19.27
190,91.66
191,76.35
192,265.55
195,306.68
200,145.34
209,314.09
210,16.16
211,231.82
214,134.03
215,24.87
218,100.93
219,32.0
222,123.85
225,15.04
228,317.84
236,211.89
241,35.21
242,173.53
243,216.76
245,19.05
247,249.85
251,130.75
252,87.75
253,84.33
254,82.61
258,320.94
260,49.71
261,168.96
265,110.15
266,275.87
267,292.56
269,168.71
270,62.36
275,99.1
278,35.98
279,78.71
286,98.93
287,30.33
288,200.74
289,144.67
293,18.01
294,160.41
297,36.33
302,121.94
303,52.48
304,79.15
307,99.13
309,17.22
311,166.24
312,121.28
314,183.97
315,218.48
319,170.61
322,118.61
323,66.78
325,122.95
327,239.11
330,34.23
332,184.6
333,17.35
338,100.83
341,102.61
345,187.41
348,124.38
349,45.82
350,116.75
352,49.29
355,16.36
356,231.51
358,57.54
363,135.86
369,159.76
371,19.05
372,137.48
375,298.85
380,131.55
388,45.2
391,127.32
392,243.94
393,372.72
394,200.7
396,27.5
401,36.4
407,102.95
409,91.02
410,120.46
416,101.78
418,120.7
420,151.96
421,233.34
422,134.6
424,284.58
428,337.43
429,225.97
431,177.01
435,10.97
439,115.98
441,13.18
447,93.99
449,142.81
451,144.77
452,17.87
454,203.12
458,229.1
463,123.89
467,15.02
470,235.07
471,162.99
474,290.2
478,17.52
483,123.02
484,133.72
485,86.33
486,128.63
491,99.65
494,99.76
495,228.83
497,201.75
499,171.48
515,113.39
518,206.25
521,170.35
525,145.35
529,241.45
532,154.14
534,106.77
540,114.03
544,291.06
547,170.26
549,45.08
563,35.2
564,152.71
567,127.48
572,113.53
577,134.67
578,244.57
585,342.87
588,146.9
589,122.64
590,108.08
592,16.78
594,227.09
596,14.73
598,351.39
599,146.55
605,34.89
606,135.65
607,238.77
608,223.45
609,62.78
610,289.09
611,167.56
614,121.55
615,215.79
616,245.67
617,124.8
618,239.47
624,120.12
629,136.0
631,93.38
633,90.0
637,24.33
638,106.81
643,62.58
644,131.07
645,33.85
646,207.83
648,202.94
650,38.16
651,200.8
652,262.53
656,107.47
657,18.98
659,66.85
660,200.97
662,102.94
665,381.06
675,325.49
681,165.48
682,189.61
685,20.01
686,208.1
689,25.47
696,139.78
703,141.5
704,98.86
705,136.49
714,232.24
717,102.98
718,14.85
720,87.36
721,254.07
723,223.51
726,184.36
728,140.28
730,200.19
731,27.47
734,344.44
737,73.94
738,17.54
745,165.62
746,27.66
749,238.76
752,26.41
753,168.24
758,242.03
765,17.59
766,231.85
768,83.02
769,193.21
774,129.94
775,109.94
781,50.47
784,326.53
794,18.19
795,274.45
796,80.35
802,161.73
803,218.12
805,33.68
806,291.01
807,102.43
809,15.62
810,159.53
812,196.58
814,118.25
818,248.11
819,133.91
825,76.22
836,107.47
839,122.79
847,265.43
848,169.5
851,120.02
852,134.59
853,32.14
857,142.77
858,44.64
859,222.94
861,23.59
867,107.86
870,210.13
871,213.16
872,221.19
874,356.28
881,184.07
886,137.64
890,59.0
895,156.27
899,82.02
900,276.49
901,259.05
902,234.06
903,41.15
913,260.68
918,206.07
923,116.65
924,36.7
926,26.51
927,17.62
930,211.13
934,30.55
937,124.52
939,131.91
941,91.06
942,375.51
946,276.48
950,98.49
953,85.4
959,103.34
961,28.26
962,92.08
964,83.59
969,184.57
971,149.71
976,41.21
978,247.38
980,231.52
981,143.14
990,367.18
993,18.4
996,19.66
998,328.83
999,190.06
1006,123.22
1008,15.59
1013,29.17
1015,98.82
1016,119.72
1022,301.77
1026,210.48
1028,225.15
1031,61.19
1034,48.52
1037,200.23
1040,64.69
1042,18.17
1046,18.08
1048,99.48
1049,114.79
1050,63.2
1051,222.76
1052,238.97
1055,187.97
1060,163.5
1064,26.34
1066,77.6
1071,101.24
1073,14.1
1089,203.95
1091,102.16
1092,75.92
1093,236.77
1096,305.2
1097,227.34
1098,16.91
