id,count
0,95.12
1,220.19
2,82.71
4,31.43
5,76.21
10,127.93
11,202.1
12,314.22
15,31.72
17,136.67
18,294.65
23,241.31
25,100.21
26,40.06
31,200.17
39,167.8
40,26.25
41,186.37
42,375.9
43,156.53
51,224.86
52,84.44
54,16.75
60,140.31
61,143.67
62,116.25
63,26.83
65,119.7
66,112.35
68,155.53
71,68.75
80,30.89
82,72.2
94,132.03
98,281.64
101,30.78
102,128.32
107,114.56
112,209.59
113,74.28
115,54.05
116,122.06
120,145.51
121,88.36
122,338.2
132,198.68
143,91.07
147,58.09
150,19.76
151,87.5
152,228.56
153,91.42
155,168.87
156,84.22
159,195.33
161,135.78
163,44.36
177,181.09
186,13.48
188,19.97
190,92.68
191,80.82
192,274.74
195,314.04
200,140.26
209,322.27
210,15.77
211,219.82
214,127.37
215,25.79
218,102.97
219,33.64
222,123.52
225,15.19
228,323.71
236,236.44
241,35.41
242,175.5
243,231.03
245,19.39
247,244.36
251,130.71
252,81.66
253,82.22
254,94.08
258,323.39
260,50.39
261,169.94
265,110.1
266,266.14
267,305.79
269,152.25
270,71.87
275,98.91
278,35.21
279,78.42
286,94.51
287,28.58
288,209.87
289,139.39
293,16.65
294,171.97
297,37.55
302,118.96
303,67.38
304,78.13
307,99.16
309,18.59
311,181.75
312,127.07
314,167.95
315,242.42
319,167.68
322,120.75
323,70.18
325,123.47
327,238.41
330,34.59
332,192.25
333,16.73
338,99.65
341,100.2
345,197.89
348,137.32
349,44.48
350,119.36
352,51.23
355,16.07
356,218.98
358,55.91
363,129.75
369,154.54
371,19.84
372,141.27
375,288.94
380,128.41
388,43.71
391,140.04
392,266.52
393,382.26
394,195.19
396,27.48
401,36.41
407,109.46
409,95.3
410,114.72
416,94.75
418,124.17
420,154.57
421,211.32
422,129.75
424,294.79
428,343.39
429,222.47
431,172.68
435,9.95
439,112.28
441,11.15
447,90.23
449,150.08
451,149.68
452,17.27
454,215.39
458,214.75
463,124.66
467,14.96
470,232.45
471,161.94
474,278.72
478,16.51
483,122.38
484,139.05
485,82.71
486,131.32
491,98.36
494,98.73
495,240.28
497,208.15
499,166.12
515,115.03
518,212.55
521,181.48
525,162.48
529,244.17
532,146.38
534,102.96
540,112.54
544,290.34
547,165.66
549,42.73
563,34.91
564,138.58
567,122.93
572,117.37
577,134.72
578,267.93
585,352.37
588,140.29
589,125.85
590,108.0
592,17.08
594,227.24
596,14.5
598,341.59
599,146.69
605,35.31
606,132.12
607,257.76
608,228.16
609,67.1
610,297.02
611,190.3
614,125.99
615,220.23
616,243.85
617,125.9
618,245.54
624,119.18
629,134.37
631,86.34
633,95.61
637,24.48
638,105.18
643,66.86
644,133.63
645,34.27
646,201.17
648,197.38
650,38.98
651,197.56
652,265.2
656,104.87
657,18.62
659,82.1
660,226.29
662,99.24
665,381.75
675,327.78
681,165.29
682,213.57
685,19.68
686,228.22
689,24.08
696,146.5
703,144.73
704,96.57
705,130.47
714,230.39
717,105.08
718,15.08
720,87.49
721,245.82
723,237.49
726,187.27
728,141.91
730,196.14
731,27.15
734,339.06
737,74.25
738,17.44
745,182.83
746,26.17
749,236.18
752,24.74
753,177.82
758,232.77
765,16.32
766,225.84
768,78.27
769,187.49
774,127.49
775,106.96
781,57.63
784,334.81
794,17.84
795,274.27
796,79.11
802,163.38
803,220.21
805,33.48
806,279.53
807,105.61
809,16.23
810,165.64
812,198.28
814,118.19
818,247.34
819,135.25
825,72.27
836,109.43
839,120.05
847,261.86
848,177.87
851,119.64
852,138.75
853,31.84
857,137.46
858,42.11
859,227.77
861,22.04
867,101.81
870,217.93
871,201.9
872,222.99
874,356.56
881,203.67
886,134.96
890,54.8
895,154.05
899,81.97
900,275.11
901,261.27
902,235.76
903,39.58
913,261.03
918,205.23
923,133.62
924,36.67
926,27.92
927,17.99
930,220.11
934,31.2
937,119.6
939,145.93
941,90.62
942,380.07
946,273.07
950,98.37
953,87.91
959,104.55
961,26.17
962,101.62
964,82.55
969,192.41
971,145.17
976,40.92
978,244.98
980,245.22
981,147.9
990,373.6
993,19.56
996,20.66
998,319.9
999,180.19
1006,123.22
1008,15.82
1013,31.5
1015,97.29
1016,119.09
1022,305.91
1026,221.08
1028,246.01
1031,69.42
1034,49.47
1037,194.38
1040,62.73
1042,18.26
1046,17.11
1048,101.37
1049,109.19
1050,72.57
1051,205.06
1052,236.14
1055,185.8
1060,154.67
1064,26.89
1066,82.22
1071,97.14
1073,13.71
1089,211.82
1091,100.73
1092,82.53
1093,234.28
1096,321.12
1097,227.72
1098,17.78
1099,39.61
1102,178.05
1107,104.66
1109,41.59
1111,143.12
1112,116.67
1114,313.01
1116,286.76
1117,124.4
1118,80.22
1122,135.4
1124,162.11
1127,118.9
1133,226.13
1134,33.74
1135,142.1
1139,303.02
1143,56.69
1150,117.64
1151,114.39
1153,272.37
1155,27.17
1162,27.05
1163,211.27
1166,22.46
1171,88.2
1172,16.5
1173,247.82
1174,75.5
1177,119.6
1178,160.18
1184,178.67
1185,114.79
1186,119.52
1187,162.61
1188,272.89
1191,141.93
1207,120.72
1213,44.43
1215,125.83
1223,180.48
1227,120.74
1236,58.56
1237,52.98
1238,17.38
1241,28.02
1248,16.7
1250,36.5
1251,171.47
1253,117.37
1255,98.15
1257,175.06
1261,120.57
1262,339.29
1265,136.95
1273,184.73
1277,259.5
1278,118.16
1280,113.89
1284,236.16
1285,332.3
1288,34.92
1295,116.05
1297,364.44
1299,255.76
1304,150.67
1308,44.36
1310,97.23
1311,121.85
1314,94.05
1315,114.01
1318,31.41
1320,329.72
1321,289.34
1322,246.62
1330,123.12
1333,171.51
1334,235.5
1341,141.52
1344,142.15
1351,241.94
1354,103.75
1356,51.15
1363,120.3
1365,199.98
1369,125.04
1373,117.4
1375,110.79
1377,81.7
1379,129.12
1380,275.43
1381,98.15
1384,179.08
1390,190.3
1393,236.85
1395,50.23
1399,329.91
1400,87.55
1401,174.42
1404,167.61
1408,12.55
1409,26.91
1413,224.55
1416,276.65
1418,100.66
1423,105.42
1424,25.84
1425,15.67
1433,245.36
1434,144.53
1436,333.48
1442,251.99
1444,83.06
1445,105.23
1452,217.65
1455,169.28
1462,73.42
1467,83.07
1472,42.68
1475,187.14
1493,118.27
