id,count
0,89.04
1,211.42
2,71.06
4,28.91
5,68.41
10,124.59
11,187.13
12,331.67
15,35.86
17,120.25
18,304.49
23,255.99
25,96.81
26,40.61
31,202.41
39,162.71
40,27.22
41,176.99
42,376.61
43,146.46
51,230.51
52,87.82
54,15.23
60,138.66
61,137.31
62,116.83
63,28.61
65,119.34
66,111.83
68,154.66
71,65.87
80,29.96
82,73.31
94,135.12
98,270.71
101,30.51
102,131.82
107,96.13
112,229.24
113,78.01
115,55.95
116,121.36
120,156.15
121,80.49
122,339.87
132,189.39
143,86.8
147,66.03
150,19.15
151,87.62
152,233.72
153,91.36
155,173.59
156,73.0
159,175.45
161,134.91
163,45.73
177,172.2
186,13.16
188,19.07
190,88.3
191,81.22
192,260.62
195,318.05
200,144.86
209,311.96
210,14.44
211,225.65
214,117.18
215,26.74
218,101.42
219,32.72
222,125.73
225,14.79
228,319.97
236,212.76
241,37.73
242,162.88
243,230.37
245,18.98
247,249.5
251,129.07
252,82.12
253,79.89
254,84.87
258,315.05
260,55.31
261,170.78
265,113.46
266,278.25
267,301.57
269,154.87
270,70.82
275,100.4
278,36.51
279,74.35
286,97.14
287,29.21
288,199.27
289,143.07
293,18.54
294,151.44
297,46.12
302,128.65
303,67.22
304,71.33
307,101.59
309,16.14
311,171.62
312,126.62
314,176.89
315,230.76
319,165.14
322,119.02
323,70.96
325,124.07
327,250.98
330,34.33
332,188.18
333,18.3
338,104.87
341,112.93
345,184.04
348,122.97
349,45.17
350,120.95
352,52.8
355,16.03
356,230.1
358,58.19
363,135.79
369,160.81
371,18.31
372,137.0
375,316.26
380,130.76
388,44.36
391,137.08
392,265.15
393,377.75
394,201.75
396,27.73
401,35.69
407,110.76
409,90.33
410,115.6
416,111.16
418,124.23
420,146.6
421,214.71
422,132.03
424,291.56
428,348.13
429,224.84
431,155.13
435,10.62
439,115.91
441,9.94
447,89.64
449,133.32
451,139.88
452,15.77
454,206.82
458,216.61
463,126.5
467,13.46
470,218.85
471,159.33
474,290.54
478,16.5
483,123.43
484,128.86
485,84.31
486,129.63
491,103.42
494,103.49
495,242.8
497,204.12
499,160.2
515,116.18
518,211.69
521,180.42
525,154.13
529,240.37
532,141.96
534,104.73
540,112.6
544,296.72
547,164.48
549,43.7
563,34.91
564,131.34
567,123.68
572,112.7
577,131.79
578,261.92
585,357.13
588,138.09
589,120.11
590,106.31
592,15.95
594,217.29
596,13.89
598,352.34
599,145.66
605,35.46
