id,count
0,66.41
1,73.6
2,64.51
4,68.32
5,57.61
10,64.08
11,64.66
12,74.63
15,65.98
17,61.08
18,71.08
23,70.07
25,74.34
26,68.26
31,70.09
39,74.92
40,64.27
41,70.13
42,74.71
43,67.0
51,73.48
52,62.76
54,68.4
60,72.69
61,74.5
62,73.08
63,59.32
65,63.61
66,69.49
68,74.29
71,68.88
80,68.01
82,68.83
94,73.04
98,67.45
101,69.12
102,73.38
107,64.19
112,73.72
113,66.62
115,68.45
116,67.75
120,60.28
121,62.5
122,72.71
132,66.85
143,66.69
147,68.8
150,63.55
151,68.18
152,74.0
153,70.98
155,66.3
156,60.96
159,72.83
161,60.45
163,63.5
177,68.39
186,66.91
188,60.02
190,63.64
191,62.16
192,70.23
195,72.55
200,67.91
209,73.07
210,66.72
211,74.16
214,68.96
215,69.4
218,72.33
219,63.65
222,60.39
225,63.44
228,72.75
236,70.67
241,60.74
242,71.82
243,70.66
245,66.36
247,69.13
251,74.71
252,60.26
253,70.93
254,61.46
258,68.15
260,65.43
261,74.36
265,64.86
266,73.02
267,73.96
269,68.63
270,63.89
275,71.21
278,69.54
279,65.05
286,68.27
287,60.47
288,66.36
289,65.71
293,61.47
294,71.69
297,58.03
302,70.86
303,65.42
304,57.73
307,71.34
309,66.05
311,73.28
312,68.8
314,73.65
315,71.46
319,64.82
322,68.24
323,62.73
325,75.03
327,71.86
330,66.08
332,71.67
333,62.31
338,73.61
341,64.72
345,70.97
348,62.28
349,67.21
350,65.75
352,64.55
355,59.26
356,70.57
358,70.73
363,74.9
369,74.67
371,63.64
372,74.8
375,70.38
380,74.9
388,62.18
391,74.85
392,72.51
393,74.06
394,65.41
396,65.3
401,62.78
407,62.32
409,64.3
410,71.61
416,63.44
418,65.0
420,71.34
421,73.51
422,74.73
424,68.45
428,74.58
429,74.85
431,68.83
435,58.79
439,63.44
441,67.98
447,70.66
449,74.95
451,74.89
452,68.86
454,68.6
458,74.66
463,72.43
467,69.03
470,71.82
471,68.13
474,72.23
478,69.25
483,68.41
484,70.83
485,69.19
486,71.98
491,72.92
494,66.04
495,72.74
497,69.43
499,75.0
515,68.95
518,66.38
521,62.17
525,72.9
529,72.51
532,73.17
534,68.5
540,62.75
544,70.08
547,68.47
549,63.13
563,66.93
564,73.68
567,70.73
572,73.82
577,74.27
578,71.5
585,75.2
588,74.95
589,74.76
590,66.0
592,68.81
594,70.83
596,66.59
598,75.31
599,70.77
605,66.87
606,73.62
607,72.38
608,65.3
609,62.13
610,70.66
611,68.51
614,71.45
615,68.35
616,71.92
617,70.67
618,68.45
624,69.57
629,73.3
631,70.78
633,68.46
637,68.32
638,72.33
643,60.99
644,66.52
645,68.1
646,66.27
648,67.15
650,63.04
651,68.62
652,71.13
656,65.64
657,68.97
659,63.59
660,69.42
662,70.96
665,73.96
675,73.89
681,63.91
682,72.53
685,58.71
686,70.37
689,68.04
696,66.38
703,68.98
704,71.58
705,65.95
714,65.5
717,64.13
718,69.41
720,59.12
721,73.63
723,64.91
726,68.82
728,74.68
730,67.42
731,69.54
734,70.03
737,67.86
738,60.85
745,74.86
746,69.59
749,67.81
752,66.91
753,68.56
758,66.13
765,68.87
766,74.96
768,68.61
769,69.6
774,73.15
775,64.0
781,66.07
784,73.6
794,70.27
795,69.61
796,69.64
802,69.62
803,67.07
805,67.92
806,71.22
807,70.97
809,62.98
810,72.75
812,66.95
814,68.72
818,69.42
819,73.3
825,57.42
836,64.26
839,72.31
847,69.04
848,66.71
851,75.15
852,69.84
853,66.9
857,67.38
858,70.2
859,70.4
861,58.46
867,71.79
870,70.77
871,69.04
872,73.09
874,71.63
881,70.81
886,66.34
890,67.02
895,68.42
899,69.34
900,71.66
901,67.2
902,71.16
903,64.75
913,67.34
918,67.88
923,66.05
924,68.4
926,64.05
927,60.74
930,70.84
934,64.55
937,68.6
939,64.13
941,60.81
942,73.63
946,73.43
950,71.23
953,61.67
959,63.16
961,63.37
962,66.9
964,62.27
969,68.14
971,66.23
976,64.04
978,66.57
980,71.91
981,71.55
990,73.67
993,64.23
996,66.38
998,75.27
999,68.6
1006,69.74
1008,69.1
1013,59.86
1015,70.21
1016,75.1
1022,73.51
1026,71.79
1028,74.71
1031,62.6
1034,70.9
1037,74.66
1040,70.76
1042,63.73
1046,69.35
1048,69.69
1049,71.1
1050,63.65
1051,73.58
1052,70.58
1055,68.76
1060,68.04
1064,69.89
1066,63.19
1071,74.35
1073,66.88
1089,74.11
1091,68.54
1092,58.49
1093,66.38
1096,74.18
1097,69.35
1098,60.3
1099,70.02
1102,73.65
1107,68.52
1109,68.21
1111,63.66
1112,68.29
1114,69.76
1116,72.82
1117,75.13
1118,65.98
1122,71.13
1124,70.04
1127,69.29
1133,75.17
1134,68.4
1135,69.03
1139,72.57
1143,68.45
1150,66.53
1151,66.15
1153,72.19
1155,67.69
1162,62.24
1163,67.19
1166,58.78
1171,67.64
1172,66.7
1173,68.26
1174,68.72
1177,62.08
1178,69.68
1184,69.6
1185,71.09
1186,66.87
1187,73.52
1188,70.74
1191,70.23
1207,65.15
1213,64.48
1215,74.23
1223,74.91
1227,64.95
1236,68.37
1237,64.25
1238,64.91
1241,68.21
1248,62.76
1250,63.59
1251,73.4
1253,68.07
1255,69.86
1257,74.75
1261,68.51
1262,74.53
1265,70.15
1273,65.32
1277,73.13
1278,70.77
1280,68.68
1284,71.76
1285,74.82
1288,66.25
1295,66.16
1297,75.22
1299,68.53
1304,68.62
1308,68.43
1310,68.71
1311,71.04
1314,64.54
1315,72.03
1318,68.38
1320,73.36
1321,71.59
1322,69.44
1330,72.77
1333,63.38
1334,72.52
1341,71.95
1344,63.12
1351,71.7
1354,66.69
1356,69.52
1363,68.33
1365,71.79
1369,70.64
1373,70.74
1375,72.24
1377,68.69
1379,71.94
1380,73.34
1381,66.78
1384,67.72
1390,72.74
1393,66.28
1395,68.04
1399,71.17
1400,64.01
1401,62.27
1404,70.17
1408,66.68
1409,60.04
1413,70.52
1416,72.49
1418,70.83
1423,67.98
1424,66.76
1425,66.65
1433,71.89
1434,67.62
1436,72.46
1442,72.23
1444,66.71
1445,68.44
1452,74.09
1455,64.71
1462,65.22
1467,60.34
1472,70.14
1475,64.56
1493,72.65
1501,67.58
1503,71.1
1504,73.64
1505,64.14
1511,73.1
1512,68.08
1513,69.38
1514,64.48
1528,73.75
1533,73.48
1534,60.92
1536,68.6
1537,58.01
1539,70.96
1550,71.89
1552,64.74
1554,70.37
1555,72.55
1556,66.12
1559,63.49
1563,75.03
1566,75.07
1567,69.65
1568,68.06
1571,68.25
1572,61.01
1574,65.32
1577,67.35
1583,64.62
1585,63.24
1586,71.69
1587,70.35
1596,71.67
1602,66.83
1604,69.0
1605,66.2
1610,72.42
1611,68.4
1616,69.05
1617,73.66
1618,66.28
1622,61.66
1623,64.65
1628,72.44
1631,64.7
1632,70.89
1633,69.77
1634,75.14
1636,72.8
1637,72.25
1643,60.73
1644,72.15
1646,64.39
1648,63.88
1651,70.97
1656,59.97
1658,67.52
1659,60.22
1665,69.03
1666,67.05
1670,68.96
1674,67.27
1679,73.39
1680,75.27
1683,70.16
1686,63.39
1691,72.33
1693,64.65
1696,68.16
1697,70.91
1703,66.95
1706,66.78
1709,72.58
1710,71.31
1712,70.94
1713,74.03
1718,75.2
1719,68.71
1722,70.91
1723,72.81
1724,71.25
1728,59.46
1730,60.81
1732,58.98
1737,60.05
1745,65.77
1747,68.22
1748,68.44
1755,68.5
1759,68.01
1761,73.63
1764,68.99
1765,74.19
1766,65.1
1768,64.08
1770,63.1
1771,65.47
1774,64.12
1785,73.12
1788,73.49
1792,68.03
1794,69.59
1797,70.98
1798,59.19
1799,72.46
1802,72.28
1806,69.66
1808,59.93
1810,70.43
1818,60.89
1819,73.41
1820,69.46
1822,69.64
1826,75.11
1827,73.58
1835,61.58
1841,65.24
1842,63.91
1843,65.31
1846,61.6
1849,60.34
1850,73.29
1851,70.17
1857,66.86
1858,65.44
1860,66.61
1861,70.76
1864,65.27
1869,73.97
1871,67.38
1872,64.35
1875,64.14
1878,73.35
1879,71.35
1885,63.5
1888,62.2
1889,65.31
1890,68.19
1896,63.14
1897,73.1
1898,72.41
1900,66.19
1905,66.64
1908,65.34
1909,73.05
1913,71.01
1918,70.18
1922,71.69
1923,73.6
1925,71.95
1926,63.55
1927,72.87
1930,70.28
1935,69.13
1939,63.6
1942,68.26
1943,68.85
1948,74.91
1949,72.41
1951,69.35
1953,66.65
1959,74.15
1963,64.23
1967,66.98
1973,73.7
1975,70.06
1976,66.55
1990,66.09
1993,70.62
1997,64.06
1999,74.04
2001,69.8
2004,68.06
2010,70.05
2013,72.82
2017,70.74
2021,64.66
2023,63.52
2026,70.03
2037,65.58
2039,64.3
2041,65.92
2046,58.41
2050,69.67
2060,70.38
2067,70.34
2069,73.75
2072,72.26
2074,74.8
2079,69.26
2083,69.7
2085,66.95
2087,64.61
2093,68.73
2094,61.22
2097,68.88
2103,66.75
2104,68.5
2107,73.19
2108,58.91
2110,61.72
2115,75.2
2117,59.16
2125,75.27
2127,71.88
2133,63.45
2134,73.2
2135,70.26
2141,71.82
2143,66.99
2145,65.41
2146,66.6
2147,69.22
2148,71.36
2149,62.58
2165,70.03
2166,73.04
2177,68.61
