id,count
0,84.54
1,212.08
2,71.09
4,30.37
5,75.89
10,120.07
11,208.25
12,319.64
15,37.18
17,131.39
18,301.68
23,241.86
25,97.7
26,41.16
31,196.22
39,173.05
40,27.0
41,174.04
42,363.85
43,161.38
51,216.51
52,87.3
54,15.73
60,144.56
61,140.9
62,114.31
63,27.47
65,116.1
66,114.91
68,159.18
71,69.85
80,31.73
82,71.6
94,124.74
98,278.76
101,31.08
102,134.94
107,82.68
112,241.51
113,72.22
115,56.27
116,122.21
120,153.94
121,81.62
122,341.55
132,203.09
143,83.95
147,63.19
150,17.99
151,87.49
152,233.16
153,90.99
155,172.49
156,78.42
159,202.82
161,141.1
163,44.0
177,171.87
186,14.5
188,19.47
190,88.4
191,82.32
192,266.53
195,313.26
200,146.14
209,314.69
210,15.38
211,230.16
214,138.89
215,25.44
218,100.72
219,35.27
222,143.25
225,15.0
228,321.64
236,227.52
241,36.28
242,180.96
243,224.48
245,18.34
247,249.61
251,132.23
252,87.41
253,81.48
254,88.09
258,323.05
260,51.84
261,176.97
265,113.46
266,283.78
267,302.75
269,159.03
270,71.46
275,101.82
278,35.33
279,83.06
286,94.91
287,29.52
288,218.6
289,154.31
293,19.91
294,165.58
297,45.4
302,120.29
303,66.08
304,75.55
307,99.38
309,16.93
311,167.17
312,132.35
314,187.05
315,233.19
319,172.58
322,118.35
323,70.65
325,126.81
327,233.7
330,36.35
332,203.32
333,18.59
338,101.86
341,107.68
345,179.74
348,121.6
349,44.31
350,116.09
352,51.82
355,14.32
356,231.51
358,59.94
363,132.38
369,168.69
371,18.56
372,148.52
375,308.65
380,131.41
388,43.76
391,141.85
392,255.84
393,370.22
394,206.07
396,26.29
401,35.81
407,112.54
409,92.39
410,116.35
416,108.01
418,119.42
420,150.58
421,234.24
422,128.83
424,288.03
428,336.45
429,219.98
431,178.4
435,11.63
439,112.94
441,12.86
447,93.18
449,139.17
451,139.45
452,15.73
454,215.32
458,217.65
463,117.05
467,15.03
